abnormal adipose tissue morphology|adipose tissue phenotype
abnormal vertebrae morphology|abnormal vertebral column morphology
absent vertebrae|abnormal vertebrae morphology
absent vertebral transverse processes|abnormal vertebral transverse process morphology
absent vertebral pedicles|abnormal vertebral pedicle morphology
abnormal vertebral body morphology|abnormal vertebrae morphology
abnormal scapula morphology|abnormal pectoral girdle bone morphology
abnormal rib morphology|abnormal thoracic cage morphology
absent ribs|decreased rib number
absent proximal rib|absent ribs
rib bifurcation|abnormal rib morphology
rib fusion|abnormal rib morphology
asymmetric rib attachment|abnormal rib attachment
abnormal sternum morphology|abnormal thoracic cage morphology
abnormal sternum morphology|abnormal pectoral girdle bone morphology
absent sternum|abnormal sternum morphology
abnormal xiphoid process morphology|abnormal sternum morphology
kyphosis|abnormal spine curvature
scoliosis|abnormal spine curvature
lordosis|abnormal spine curvature
abnormal cartilage morphology|abnormal skeleton morphology
abnormal cartilage development|abnormal cartilage morphology
abnormal cartilage development|abnormal skeleton development
abnormal long bone hypertrophic chondrocyte zone|abnormal cartilage development
abnormal long bone hypertrophic chondrocyte zone|abnormal long bone epiphyseal plate morphology
abnormal chondrocyte morphology|abnormal cartilage morphology
decreased chondrocyte number|abnormal chondrocyte morphology
abnormal bone marrow development|abnormal lymph organ development
abnormal bone marrow cell number|abnormal bone marrow cell morphology/development
absent bone marrow cell|decreased bone marrow cell number
abnormal circulating cholesterol level|abnormal cholesterol level
abnormal circulating cholesterol level|abnormal circulating lipid level
abnormal circulating ldl cholesterol level|abnormal circulating lipoprotein level
abnormal circulating ldl cholesterol level|abnormal circulating non-hdl cholesterol level
increased circulating ldl cholesterol level|increased circulating cholesterol level
increased circulating ldl cholesterol level|abnormal circulating ldl cholesterol level
decreased circulating ldl cholesterol level|decreased circulating cholesterol level
decreased circulating ldl cholesterol level|abnormal circulating ldl cholesterol level
abnormal circulating hdl cholesterol level|abnormal circulating lipoprotein level
abnormal circulating hdl cholesterol level|abnormal circulating cholesterol level
decreased circulating hdl cholesterol level|decreased circulating cholesterol level
decreased circulating hdl cholesterol level|abnormal circulating hdl cholesterol level
abnormal triglyceride level|abnormal lipid level
abnormal circulating glucose level|abnormal blood homeostasis
abnormal circulating glucose level|abnormal glucose homeostasis
hypoglycemia|decreased circulating glucose level
abnormal mineral level|abnormal mineral homeostasis
increased circulating calcium level|abnormal circulating calcium level
decreased circulating calcium level|abnormal circulating calcium level
decreased circulating phosphate level|abnormal circulating phosphate level
abnormal circulating serum albumin level|abnormal circulating protein level
abnormal circulating alkaline phosphatase level|abnormal circulating enzyme level
abnormal circulating aspartate transaminase level|abnormal circulating enzyme level
decreased hematocrit|abnormal hematocrit
absent erythrocytes|decreased erythrocyte cell number
absent erythroid progenitor cell|decreased erythroid progenitor cell number
abnormal leukocyte cell number|abnormal hematopoietic cell number
abnormal leukocyte cell number|abnormal leukocyte morphology
increased leukocyte cell number|increased hematopoietic cell number
increased leukocyte cell number|abnormal leukocyte cell number
increased neutrophil cell number|increased granulocyte number
increased neutrophil cell number|abnormal neutrophil cell number
increased monocyte cell number|increased leukocyte cell number
increased monocyte cell number|abnormal monocyte cell number
decreased leukocyte cell number|decreased hematopoietic cell number
decreased leukocyte cell number|abnormal leukocyte cell number
decreased neutrophil cell number|decreased granulocyte number
decreased neutrophil cell number|abnormal neutrophil cell number
decreased monocyte cell number|decreased leukocyte cell number
decreased monocyte cell number|abnormal monocyte cell number
abnormal mean corpuscular volume|abnormal erythrocyte morphology
abnormal thrombopoiesis|abnormal platelet morphology
abnormal thrombopoiesis|abnormal myelopoiesis
abnormal megakaryocyte differentiation|abnormal megakaryocyte morphology
abnormal megakaryocyte differentiation|abnormal cell differentiation
abnormal systemic arterial blood pressure|abnormal cardiovascular system physiology
hypertension|increased systemic arterial blood pressure
abnormal blood flow velocity|abnormal blood circulation
absent pre-b cells|decreased pre-b cell number
absent pre-b cells|absent immature b cells
absent common myeloid progenitor cells|decreased common myeloid progenitor cell number
absent common myeloid progenitor cells|absent bone marrow cell
extramedullary hematopoiesis|abnormal definitive hematopoiesis
impaired fertilization|abnormal fertilization
myoclonus|convulsive seizures
myoclonus|muscle spasm
abnormal erythropoiesis|abnormal erythrocyte morphology
abnormal erythropoiesis|abnormal definitive hematopoiesis
macrocytosis|abnormal erythrocyte morphology
abnormal blood vessel physiology|abnormal cardiovascular system physiology
abnormal vasoconstriction|abnormal vascular smooth muscle physiology
abnormal vasoconstriction|abnormal muscle contractility
vasculature congestion|abnormal blood vessel morphology
echinocytosis|abnormal erythrocyte morphology
abnormal vascular development|abnormal blood vessel morphology
abnormal vascular development|abnormal cardiovascular development
abnormal angiogenesis|abnormal vascular development
poor arterial differentiation|abnormal artery development
absent organized vascular network|abnormal vasculogenesis
failure of vascular branching|abnormal vascular branching morphogenesis
atretic vasculature|abnormal blood vessel morphology
abnormal heart morphology|abnormal cardiovascular system morphology
abnormal heart development|abnormal cardiovascular development
abnormal heart development|abnormal heart morphology
abnormal heart looping|abnormal heart development
abnormal heart tube morphology|abnormal heart development
abnormal aorta morphology|abnormal systemic artery morphology
overriding aortic valve|abnormal heart and great artery attachment
enlarged heart|abnormal heart size
heart hyperplasia|enlarged heart
heart right ventricle hypertrophy|cardiac hypertrophy
heart right ventricle hypertrophy|increased heart right ventricle size
abnormal heart shape|abnormal heart morphology
abnormal myocardial fiber morphology|abnormal cardiac muscle tissue morphology
abnormal myocardial fiber morphology|abnormal muscle fiber morphology
abnormal myocardial fiber morphology|abnormal myocardium layer morphology
ventricular hypoplasia|abnormal heart ventricle morphology
ventricular hypoplasia|small heart
thin ventricular wall|abnormal heart ventricle wall thickness
abnormal interventricular septum morphology|abnormal heart septum morphology
abnormal interventricular septum morphology|abnormal heart ventricle morphology
abnormal interatrial septum morphology|abnormal heart septum morphology
abnormal interatrial septum morphology|abnormal heart atrium morphology
double outlet right ventricle|abnormal heart and great artery attachment
abnormal heart valve morphology|abnormal heart morphology
abnormal mitral valve morphology|abnormal atrioventricular valve morphology
heart valve hypoplasia|abnormal heart valve morphology
abnormal pericardium morphology|abnormal heart morphology
enlarged pericardium|abnormal pericardium morphology
distended pericardium|abnormal pericardium morphology
absent myocardial trabeculae|abnormal myocardial trabeculae morphology
trabecula carnea hypoplasia|ventricle myocardium hypoplasia
trabecula carnea hypoplasia|abnormal trabecula carnea morphology
trabecula carnea hypoplasia|myocardial trabeculae hypoplasia
absent trabeculae carneae|absent myocardial trabeculae
absent trabeculae carneae|abnormal trabecula carnea morphology
abnormal atrioventricular cushion morphology|abnormal fetal atrioventricular canal morphology
absent atrioventricular cushions|abnormal atrioventricular cushion morphology
failure of atrioventricular cushion closure|abnormal fetal atrioventricular canal septation
failure of atrioventricular cushion closure|abnormal atrioventricular cushion morphology
thin atrioventricular cushion|decreased atrioventricular cushion size
decreased atrioventricular cushion size|abnormal atrioventricular cushion morphology
abnormal cardiac stroke volume|abnormal blood circulation
abnormal cell death|abnormal cell physiology
schistocytosis|poikilocytosis
hemoglobinuria|increased urine protein level
cellular necrosis|abnormal cell death
increased bone marrow cell number|abnormal bone marrow cell number
increased granulocyte number|increased leukocyte cell number
increased granulocyte number|abnormal granulocyte number
increased mast cell number|increased granulocyte number
increased mast cell number|abnormal mast cell number
hemosiderinuria|abnormal urine homeostasis
increased enterocyte cell number|abnormal enterocyte cell number
hemoglobinemia|abnormal circulating protein level
decreased bone marrow cell number|abnormal bone marrow cell number
decreased granulocyte number|decreased leukocyte cell number
decreased granulocyte number|abnormal granulocyte number
decreased mast cell number|decreased granulocyte number
decreased mast cell number|abnormal mast cell number
decreased enterocyte cell number|abnormal enterocyte cell number
abnormal bile color|abnormal gallbladder physiology
altered response to myocardial infarction|abnormal response to injury
altered response to myocardial infarction|abnormal cardiovascular system physiology
absent cajal-retzius cell|decreased cajal-retzius cell number
broad head|abnormal head shape
abnormal aerobic fitness|abnormal metabolism
abnormal cell proliferation|abnormal cell physiology
increased cell proliferation|abnormal cell proliferation
decreased cell proliferation|abnormal cell proliferation
abnormal cell morphology|cellular phenotype
abnormal mast cell morphology|abnormal granulocyte morphology
decreased mast cell protease storage|abnormal mast cell morphology
decreased mast cell histamine storage|abnormal mast cell morphology
abnormal vascular regression|abnormal developmental vascular remodeling
abnormal vascular regression|abnormal apoptosis
abnormal coat/ hair morphology|abnormal skin adnexa morphology
head blaze|abnormal coat/hair pigmentation
diluted coat color|abnormal coat/hair pigmentation
irregular coat pigmentation|abnormal coat/hair pigmentation
belly spot|white spotting
folliculitis|increased inflammatory response
folliculitis|abnormal hair follicle morphology
abnormal hair follicle morphology|abnormal skin adnexa morphology
absent hair follicles|abnormal hair follicle morphology
decreased hair follicle number|abnormal hair follicle morphology
small hair follicles|abnormal hair follicle morphology
enlarged hair follicles|abnormal hair follicle morphology
underdeveloped hair follicles|abnormal hair follicle development
abnormal hair follicle orientation|abnormal skin adnexa morphology
distorted hair follicle pattern|abnormal hair follicle morphology
distended hair follicles|abnormal hair follicle morphology
disorganized inner root sheath cells|abnormal hair follicle inner root sheath morphology
absent hair follicle inner root sheath|abnormal hair follicle inner root sheath morphology
disorganized outer root sheath cells|abnormal hair follicle outer root sheath morphology
disorganized matrix sheath cells|abnormal hair follicle matrix region morphology
premature hair follicle generation|abnormal hair follicle development
accelerated hair follicle regression|abnormal hair follicle regression
persistent hair follicle morphogenesis|abnormal hair follicle morphology
absent hair follicle melanin granules|abnormal hair follicle melanin granule morphology
increased curvature of hairs|abnormal hair shaft morphology
abnormal guard hair morphology|abnormal coat/ hair morphology
splitting of guard hairs|abnormal guard hair morphology
increased curvature of guard hairs|increased curvature of hairs
increased curvature of guard hairs|abnormal guard hair morphology
abnormal awl hair morphology|abnormal coat/ hair morphology
increased curvature of awl hairs|increased curvature of hairs
increased curvature of awl hairs|abnormal awl hair morphology
abnormal zigzag hair morphology|abnormal coat/ hair morphology
increased curvature of zigzag hairs|increased curvature of hairs
increased curvature of zigzag hairs|abnormal zigzag hair morphology
decreased curvature of zigzag hairs|abnormal zigzag hair morphology
abnormal auchene hair morphology|abnormal coat/ hair morphology
increased curvature of auchene hairs|increased curvature of hairs
increased curvature of auchene hairs|abnormal auchene hair morphology
abnormal duvet hair morphology|abnormal coat/ hair morphology
absent duvet hair|abnormal duvet hair morphology
waved hair|abnormal coat appearance
shiny fur|abnormal coat appearance
excessive hair|abnormal hair growth
polyphalangy|abnormal phalanx morphology
alopecia|abnormal hair growth
sparse hair|abnormal hair growth
short hair|abnormal hair growth
focal hair loss|abnormal hair growth
ruffled hair|abnormal coat appearance
mottled coat|variegated coat color
delayed hair appearance|abnormal hair growth
delayed hair regrowth|abnormal hair cycle
retarded hair growth|abnormal hair growth
loss of eyelid cilia|abnormal eyelid cilium morphology
loss of eyelid cilia|abnormal hair growth
ectopic hair growth|abnormal hair growth
abnormal hair cycle|abnormal skin adnexa physiology
abnormal craniofacial morphology|craniofacial phenotype
absent maxillary shelf|abnormal maxillary shelf morphology
absent palatine bone horizontal plate|abnormal palatine bone horizontal plate morphology
abnormal head morphology|growth/size/body region phenotype
microcephaly|abnormal head size
megacephaly|abnormal head size
shortened head|abnormal head shape
abnormal head movements|abnormal stationary movement
taut facial appearance|abnormal facial morphology
abnormal cranium morphology|abnormal craniofacial bone morphology
enlarged cranium|abnormal cranium size
domed cranium|abnormal cranium morphology
increased cranium width|abnormal cranium size
abnormal snout morphology|abnormal facial morphology
short snout|abnormal snout morphology
long snout|abnormal snout morphology
flattened snout|abnormal snout morphology
pointed snout|abnormal snout morphology
broad nasal bridge|abnormal snout morphology
absent snout|abnormal snout morphology
scaly muzzle|abnormal snout morphology
abnormal mouth morphology|abnormal facial morphology
absent mouth|abnormal mouth morphology
abnormal jaw morphology|abnormal viscerocranium morphology
abnormal maxilla morphology|abnormal jaw morphology
maxilla hypoplasia|small maxilla
abnormal mandible morphology|abnormal jaw morphology
abnormal presacral vertebrae morphology|abnormal vertebrae morphology
mandible hypoplasia|small mandible
decreased presacral vertebrae number|decreased vertebrae number
decreased presacral vertebrae number|abnormal presacral vertebrae morphology
abnormal digestive system morphology|digestive/alimentary phenotype
increased presacral vertebrae number|increased vertebrae number
increased presacral vertebrae number|abnormal presacral vertebrae morphology
gastrointestinal hemorrhage|abnormal digestive system physiology
gastrointestinal hemorrhage|hemorrhage
esophageal epithelium hyperplasia|abnormal esophageal epithelium morphology
abnormal esophagus morphology|abnormal digestive system morphology
abnormal esophageal epithelium morphology|abnormal esophagus morphology
abnormal esophageal squamous epithelium morphology|abnormal esophageal epithelium morphology
abnormal stomach morphology|abnormal digestive system morphology
abnormal stomach epithelium morphology|abnormal stomach mucosa morphology
abnormal stomach squamous epithelium morphology|abnormal stomach epithelium morphology
abnormal stomach glandular epithelium morphology|abnormal stomach epithelium morphology
abnormal foregut morphology|abnormal digestive system development
abnormal intestine morphology|abnormal digestive system morphology
delayed intestine development|abnormal intestine development
abnormal enterocyte morphology|abnormal intestinal epithelium morphology
increased rib number|abnormal rib morphology
abnormal enterocyte cell number|abnormal enterocyte morphology
long fibula|increased length of long bones
long fibula|abnormal fibula morphology
abnormal pulmonary artery morphology|abnormal artery morphology
abnormal pulmonary trunk morphology|abnormal artery morphology
absent enterocytes|decreased enterocyte cell number
abnormal intestinal epithelium morphology|abnormal intestine morphology
abnormal large intestine morphology|abnormal intestine morphology
abnormal crypts of lieberkuhn morphology|abnormal exocrine gland morphology
abnormal crypts of lieberkuhn morphology|abnormal intestinal mucosa morphology
crypts of lieberkuhn abscesses|abnormal crypts of lieberkuhn morphology
abnormal rectum morphology|abnormal large intestine morphology
rectal prolapse|abnormal rectum morphology
abnormal cecum morphology|abnormal large intestine morphology
abnormal colon morphology|abnormal large intestine morphology
abnormal small intestine morphology|abnormal intestine morphology
abnormal small intestine placement|abnormal digestive organ placement
abnormal small intestine placement|abnormal small intestine morphology
absent jejunum|abnormal jejunum morphology
absent ileum|abnormal ileum morphology
small intestinal prolapse|abnormal small intestine morphology
abnormal digestive secretion|abnormal digestion
excessive digestive secretion|abnormal digestive secretion
decreased digestive secretion|abnormal digestive secretion
absent digestive secretion|abnormal digestive secretion
right-sided isomerism|heterotaxia
remittent intestinal hemorrhage|gastrointestinal hemorrhage
abnormal intestinal mucosa morphology|abnormal intestinal epithelium morphology
intestinal ulcer|gastrointestinal ulcer
intestinal ulcer|abnormal intestinal mucosa morphology
abnormal renal/urinary system morphology|renal/urinary system phenotype
hydronephrosis|abnormal kidney pelvis morphology
absent kidney|abnormal kidney morphology
abnormal kidney cortex morphology|abnormal kidney morphology
kidney cortex cysts|abnormal kidney cortex morphology
kidney cortex cysts|kidney cysts
cortical renal glomerulopathies|abnormal renal glomerulus morphology
decreased renal tubule number|abnormal renal tubule morphology
renal tubular acidosis|abnormal kidney physiology
renal tubular acidosis|acidosis
small inner medullary pyramid|abnormal kidney inner medulla morphology
small inner medullary pyramid|abnormal kidney pyramid morphology
abnormal kidney development|abnormal kidney morphology
abnormal kidney development|abnormal urinary system development
delayed kidney development|abnormal kidney development
abnormal kidney blood vessel morphology|abnormal blood vessel morphology
abnormal kidney blood vessel morphology|abnormal kidney morphology
right pulmonary isomerism|abnormal lung position or orientation
right pulmonary isomerism|right-sided isomerism
right pulmonary isomerism|abnormal left lung morphology
kidney vascular congestion|visceral vascular congestion
kidney vascular congestion|abnormal kidney blood vessel morphology
kidney hemorrhage|abnormal kidney physiology
kidney hemorrhage|internal hemorrhage
abnormal ureter morphology|abnormal renal/urinary system morphology
ureter urothelium hyperplasia|abnormal ureter urothelium morphology
hydroureter|abnormal ureter morphology
abnormal urethra morphology|abnormal renal/urinary system morphology
abnormal urinary bladder morphology|abnormal renal/urinary system morphology
distended urinary bladder|abnormal urinary bladder morphology
abnormal urinary bladder urothelium morphology|abnormal urothelium morphology
abnormal urinary bladder urothelium morphology|abnormal urinary bladder morphology
left-sided isomerism|heterotaxia
absent urinary bladder urothelium|abnormal urinary bladder urothelium morphology
thin urinary bladder urothelium|abnormal urinary bladder urothelium morphology
short limbs|abnormal limb morphology
long limbs|abnormal limb morphology
absent limbs|abnormal limb morphology
abnormal forelimb morphology|abnormal limb morphology
absent forelimb|abnormal forelimb morphology
absent forelimb|absent limbs
abnormal radius morphology|abnormal limb long bone morphology
abnormal radius morphology|abnormal forelimb zeugopod morphology
absent radius|abnormal radius morphology
abnormal carpal bone morphology|abnormal limb bone morphology
absent carpal bone|abnormal carpal bone morphology
abnormal hindlimb morphology|abnormal limb morphology
absent hindlimb|absent limbs
absent hindlimb|abnormal hindlimb morphology
abnormal tibia morphology|abnormal limb long bone morphology
abnormal tibia morphology|abnormal hindlimb zeugopod morphology
abnormal femur morphology|abnormal hindlimb stylopod morphology
abnormal femur morphology|abnormal limb long bone morphology
adactyly|abnormal digit morphology
polydactyly|abnormal digit morphology
syndactyly|abnormal digit morphology
oligodactyly|abnormal digit morphology
synostosis|abnormal skeleton morphology
truncation of digits|abnormal digit morphology
ectopic digits|abnormal digit morphology
abnormal digit pigmentation|abnormal digit morphology
abnormal digit pigmentation|abnormal skin pigmentation
interdigital webbing|syndactyly
abnormal autopod morphology|abnormal limb morphology
enlarged hind paws|abnormal autopod morphology
abnormal foot pad morphology|abnormal autopod morphology
dark foot pads|hyperpigmentation
dark foot pads|abnormal foot pigmentation
dark foot pads|abnormal foot pad morphology
clubfoot|abnormal autopod morphology
absent eccrine glands|abnormal eccrine sweat gland morphology
ulcerated paws|abnormal autopod morphology
abnormal nail morphology|abnormal skin adnexa morphology
deformed nails|abnormal nail morphology
toenail hyperkeratosis|abnormal nail morphology
long toenails|long nails
kinked tail|abnormal tail morphology
thick tail|abnormal tail morphology
thin tail|abnormal tail morphology
short tail|abnormal tail length
abnormal liver development|abnormal liver morphology
abnormal liver development|abnormal hepatobiliary system development
delayed hepatic development|abnormal liver development
abnormal liver morphology|abnormal hepatobiliary system morphology
enlarged liver|abnormal liver size
liver hypoplasia|small liver
small liver|abnormal liver size
enlarged liver sinusoidal spaces|abnormal liver sinusoid morphology
pale liver|abnormal liver morphology
amyloidosis|homeostasis/metabolism phenotype
decreased hepatocyte number|abnormal hepatocyte morphology
abnormal hepatocyte morphology|abnormal liver lobule morphology
dissociated hepatocytes|abnormal hepatocyte morphology
abnormal liver physiology|abnormal hepatobiliary system physiology
cholestasis|abnormal bile duct physiology
jaundice|abnormal liver physiology
abnormal salivary gland morphology|abnormal merocrine gland morphology
abnormal salivary gland morphology|abnormal digestive system morphology
absent salivary gland|abnormal salivary gland morphology
abnormal palatine gland morphology|abnormal minor salivary gland morphology
decreased ductal branching in the palatine gland|abnormal salivary gland duct morphology
decreased ductal branching in the palatine gland|abnormal palatine gland morphology
increased salivary gland mucosal cell number|abnormal salivary gland morphology
small salivary gland|abnormal salivary gland morphology
salivary gland epithelial hyperplasia|abnormal salivary gland morphology
narrow salivary ducts|abnormal salivary gland duct morphology
increased salivary adenocarcinoma incidence|increased adenocarcinoma incidence
increased salivary adenocarcinoma incidence|increased salivary gland tumor incidence
increased salivation|abnormal fluid regulation
increased salivation|abnormal salivary gland physiology
decreased salivation|abnormal fluid regulation
decreased salivation|abnormal salivary gland physiology
xerostomia|abnormal mucosal lining of the mouth
xerostomia|decreased salivation
abnormal mammary gland morphology|abnormal apocrine gland morphology
abnormal mammary gland morphology|abnormal skin adnexa morphology
abnormal mammary gland development|abnormal mammary gland morphology
absent mammary gland|abnormal mammary gland number
absent mammary gland|abnormal mammary gland morphology
mammary gland hyperplasia|abnormal mammary gland morphology
abnormal neuroendocrine gland morphology|abnormal endocrine gland morphology
abnormal pineal gland morphology|abnormal epithalamus morphology
abnormal pineal gland morphology|abnormal secretory circumventricular organ morphology
abnormal pituitary gland morphology|abnormal neuroendocrine gland morphology
abnormal pituitary gland morphology|abnormal diencephalon morphology
pituitary gland hyperplasia|enlarged pituitary gland
enlarged pituitary gland|abnormal pituitary gland size
abnormal adrenal gland morphology|abnormal endocrine gland morphology
adrenal gland hypoplasia|small adrenal glands
enlarged adrenal glands|abnormal adrenal gland morphology
absent adrenal medulla|abnormal adrenal medulla morphology
dextrocardia|abnormal heart position or orientation
absent adrenergic chromaffin cells|abnormal adrenergic chromaffin cell morphology
enlarged adrenocortical cells|abnormal adrenocortical cell morphology
abnormal sebaceous gland morphology|abnormal skin adnexa morphology
abnormal sebaceous gland morphology|abnormal holocrine gland morphology
absent sebaceous gland|abnormal sebaceous gland morphology
sebaceous gland atrophy|abnormal sebaceous gland morphology
mesocardia|abnormal heart position or orientation
enlarged sebaceous gland|abnormal sebaceous gland morphology
abnormal sex gland morphology|abnormal gland morphology
abnormal sex gland morphology|abnormal reproductive system morphology
absent sex gland|abnormal sex gland morphology
dilated sex gland|abnormal sex gland morphology
prostate gland hyperplasia|enlarged prostate gland
lateral prostate gland hypoplasia|prostate gland hypoplasia
small prostate gland ventral lobe|small prostate gland
small prostate gland ventral lobe|abnormal prostate gland ventral lobe morphology
abnormal branching of the mammary ductal tree|abnormal mammary gland duct morphology
abnormal branching of the mammary ductal tree|abnormal mammary gland development
small prostate gland anterior lobe|abnormal prostate gland anterior lobe morphology
decreased ductal branching in the coagulating gland|abnormal prostate gland branching morphogenesis
decreased prostate gland duct number|abnormal prostate gland duct morphology
bulbourethral gland hypoplasia|abnormal bulbourethral gland morphology
abnormal sweat gland morphology|abnormal skin adnexa morphology
abnormal sweat gland morphology|abnormal exocrine gland morphology
abnormal eccrine sweat gland morphology|abnormal merocrine gland morphology
abnormal eccrine sweat gland morphology|abnormal sweat gland morphology
abnormal eccrine sweat gland morphology|abnormal autopod morphology
abnormal water content|abnormal body composition
abnormal parathyroid gland morphology|abnormal endocrine gland morphology
increased percent water in carcass|abnormal water content
absent parathyroid glands|abnormal parathyroid gland morphology
abnormal thyroid gland morphology|abnormal endocrine gland morphology
decreased percent water in carcass|abnormal water content
abnormal immune system morphology|immune system phenotype
small lymphoid organs|abnormal lymph organ size
lymphoid hyperplasia|large lymphoid organs
abnormal spleen morphology|abnormal hematopoietic system morphology/development
abnormal spleen morphology|abnormal immune system organ morphology
absent spleen|abnormal spleen morphology
enlarged spleen|abnormal spleen size
small spleen|abnormal spleen size
spleen hyperplasia|enlarged spleen
spleen hypoplasia|small spleen
abnormal peyer's patch morphology|abnormal gut-associated lymphoid tissue morphology
abnormal lymph node number|abnormal lymph node morphology
abnormal lymph node size|abnormal lymph organ size
abnormal lymph node size|abnormal lymph node morphology
enlarged lymph nodes|abnormal lymph node size
abnormal thymus morphology|abnormal hematopoietic system morphology/development
abnormal thymus morphology|abnormal immune system organ morphology
abnormal thymus morphology|abnormal endocrine gland morphology
